Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,TIPUS_DOMICILI
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,61,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,76,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,31,3
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,4
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,92,5
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,20,6
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,7
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,99,8
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,9
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,46,11
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,54,12
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,66,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,91,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,41,3
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,28,4
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,93,5
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,6
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,19,7
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,109,8
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,9
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,39,11
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,36,12
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,107,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,145,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,59,3
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,38,4
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,142,5
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,41,6
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,45,7
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,240,8
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,18,9
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,3,10
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,98,11
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,138,12
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,122,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,199,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,64,3
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,34,4
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,199,5
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,24,6
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,43,7
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,219,8
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,21,9
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,3,10
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,116,11
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,110,12
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,102,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,161,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,65,3
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,38,4
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,160,5
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,28,6
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,40,7
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,172,8
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,34,9
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,2,10
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,84,11
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,75,12
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,66,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,98,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,33,3
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,24,4
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,115,5
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,16,6
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,14,7
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,148,8
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,9,9
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,3,10
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,61,11
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,59,12
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,68,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,129,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,22,3
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,22,4
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,112,5
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,16,6
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,23,7
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,137,8
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,16,9
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,6,10
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,78,11
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,76,12
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,65,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,142,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,83,3
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,55,4
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,136,5
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,26,6
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,32,7
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,208,8
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,15,9
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,8,10
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,148,11
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,141,12
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,79,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,135,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,61,3
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,18,4
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,139,5
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,29,6
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,28,7
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,167,8
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,28,9
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,73,11
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,91,12
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,71,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,136,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,20,3
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,18,4
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,131,5
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,17,6
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,32,7
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,176,8
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,12,9
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,3,10
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,103,11
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,126,12
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,145,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,191,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,40,3
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,40,4
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,207,5
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,14,6
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,32,7
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,234,8
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,32,9
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,6,10
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,111,11
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,109,12
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,81,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,113,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,41,3
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,25,4
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,128,5
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,21,6
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,28,7
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,161,8
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,11,9
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,2,10
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,62,11
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,86,12
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,37,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,49,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,44,3
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,16,4
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,78,5
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,22,6
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,22,7
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,114,8
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,9,9
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,38,11
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,74,12
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,51,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,72,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,37,3
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,19,4
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,100,5
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,19,6
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,28,7
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,142,8
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,13,9
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,2,10
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,39,11
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,85,12
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,74,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,107,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,50,3
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,24,4
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,161,5
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,20,6
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,31,7
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,180,8
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,10,9
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,1,10
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,83,11
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,111,12
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,84,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,111,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,35,3
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,15,4
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,118,5
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,14,6
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,22,7
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,176,8
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,22,9
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,1,10
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,76,11
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,92,12
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,84,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,120,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,30,3
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,22,4
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,126,5
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,20,6
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,27,7
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,215,8
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,13,9
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,3,10
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,88,11
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,132,12
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,49,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,72,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,42,3
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,20,4
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,82,5
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,23,6
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,21,7
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,123,8
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,13,9
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,1,10
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,45,11
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,67,12
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,115,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,167,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,58,3
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,35,4
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,219,5
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,27,6
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,38,7
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,232,8
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,20,9
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,3,10
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,98,11
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,92,12
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,112,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,127,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,71,3
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,40,4
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,190,5
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,46,6
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,39,7
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,217,8
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,8,9
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,4,10
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,53,11
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,49,12
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,146,1
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,182,2
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,67,3
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,38,4
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,205,5
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,34,6
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,50,7
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,185,8
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,17,9
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,2,10
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,43,11
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,43,12
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,93,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,75,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,46,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,19,4
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,134,5
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,32,6
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,24,7
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,133,8
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,10,9
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,4,10
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,29,11
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,25,12
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,140,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,155,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,67,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,28,4
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,182,5
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,35,6
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,28,7
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,172,8
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,7,9
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1,10
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,58,11
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,50,12
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,95,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,92,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,33,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,33,4
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,123,5
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,16,6
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,20,7
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,142,8
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,10,9
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,2,10
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,23,11
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,34,12
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,82,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,117,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,37,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,26,4
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,136,5
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,26,6
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,25,7
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,136,8
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,10,9
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,3,10
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,38,11
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,38,12
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,90,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,112,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,40,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,12,4
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,138,5
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,20,6
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,31,7
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,138,8
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,9,9
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,3,10
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,38,11
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,37,12
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,140,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,132,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,52,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,26,4
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,194,5
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,21,6
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,37,7
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,178,8
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,9,9
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,2,10
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,48,11
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,49,12
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,69,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,94,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,24,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,14,4
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,135,5
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,9,6
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,22,7
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,149,8
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,11,9
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,3,10
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,28,11
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,21,12
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,107,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,146,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,59,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,42,4
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,197,5
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,29,6
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,49,7
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,216,8
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,13,9
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,4,10
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,73,11
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,70,12
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,87,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,124,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,27,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,16,4
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,140,5
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,20,6
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,29,7
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,147,8
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,13,9
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,2,10
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,36,11
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,49,12
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,176,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,149,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,67,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,31,4
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,196,5
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,41,6
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,43,7
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,131,8
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,9,9
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,4,10
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,27,11
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,25,12
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,99,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,109,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,39,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,11,4
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,95,5
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,20,6
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,24,7
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,75,8
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,7,9
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1,10
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,30,11
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,22,12
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,86,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,86,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,50,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,13,4
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,121,5
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,11,6
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,20,7
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,67,8
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,12,9
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,2,10
